idHabitacion,habitacion,timestamp,status
12,Estacion de revision 1,31/05/2021 07:19,Sala no disponible.
12,Estacion de revision 1,31/05/2021 07:20,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 07:20,Sala disponible.
12,Estacion de revision 1,31/05/2021 07:29,Sala no disponible.
12,Estacion de revision 1,31/05/2021 07:29,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 07:30,Sala disponible.
13,Estacion de revision 2,31/05/2021 07:36,Sala no disponible.
13,Estacion de revision 2,31/05/2021 07:37,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 07:38,Sala disponible.
1,Sala de examenes 1,31/05/2021 07:42,Sala no disponible.
1,Sala de examenes 1,31/05/2021 07:43,Inicia limpieza.
1,Sala de examenes 1,31/05/2021 07:46,Sala disponible.
2,Sala de examenes 2,31/05/2021 07:54,Sala no disponible.
2,Sala de examenes 2,31/05/2021 07:54,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 07:55,Sala no disponible.
12,Estacion de revision 1,31/05/2021 07:56,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 07:56,Sala disponible.
2,Sala de examenes 2,31/05/2021 07:57,Sala disponible.
6,Sala de procedimientos 1,31/05/2021 07:59,Sala no disponible.
6,Sala de procedimientos 1,31/05/2021 07:59,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:00,Sala no disponible.
13,Estacion de revision 2,31/05/2021 08:00,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:01,Sala disponible.
12,Estacion de revision 1,31/05/2021 08:05,Sala no disponible.
6,Sala de procedimientos 1,31/05/2021 08:05,Sala disponible.
12,Estacion de revision 1,31/05/2021 08:05,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 08:06,Sala disponible.
13,Estacion de revision 2,31/05/2021 08:06,Sala no disponible.
13,Estacion de revision 2,31/05/2021 08:07,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:08,Sala disponible.
12,Estacion de revision 1,31/05/2021 08:10,Sala no disponible.
13,Estacion de revision 2,31/05/2021 08:11,Sala no disponible.
13,Estacion de revision 2,31/05/2021 08:11,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:12,Sala disponible.
1,Sala de examenes 1,31/05/2021 08:16,Sala no disponible.
1,Sala de examenes 1,31/05/2021 08:16,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:17,Sala no disponible.
13,Estacion de revision 2,31/05/2021 08:17,Inicia limpieza.
13,Estacion de revision 2,31/05/2021 08:18,Sala disponible.
1,Sala de examenes 1,31/05/2021 08:19,Sala disponible.
5,Sala de imagenes 1,31/05/2021 08:20,Sala no disponible.
5,Sala de imagenes 1,31/05/2021 08:21,Inicia limpieza.
5,Sala de imagenes 1,31/05/2021 08:22,Sala disponible.
12,Estacion de revision 1,31/05/2021 08:23,Inicia limpieza.
12,Estacion de revision 1,31/05/2021 08:24,Sala disponible.
2,Sala de examenes 2,31/05/2021 08:26,Sala no disponible.
2,Sala de examenes 2,31/05/2021 08:27,Inicia limpieza.
3,Sala de examenes 3,31/05/2021 08:27,Sala no disponible.
3,Sala de examenes 3,31/05/2021 08:28,Inicia limpieza.
3,Sala de examenes 3,31/05/2021 08:29,Sala disponible.
2,Sala de examenes 2,31/05/2021 08:29,Sala disponible.
4,Sala de examenes 4,31/05/2021 08:32,Sala no disponible.
4,Sala de examenes 4,31/05/2021 08:32,Inicia limpieza.
4,Sala de examenes 4,31/05/2021 08:34,Sala disponible.
12,Estacion de revision 1,31/05/2021 08:35,Sala no disponible.
5,Sala de imagenes 1,31/05/2021 08:39,Sala no disponible.
